Serial Number,Asset Tag,Is-Active
QP0270CX5PM,Z00003578,TRUE
D25HX0B9DHJW,Z00003596,TRUE
D25HX0AGDHJW,Z00003598,TRUE
D25QC00EF8J9,Z00003606,TRUE
D25MJ1BDF8J9,Z00003674,TRUE
C1MLGOYLDV31,Z00004043,TRUE
D25LJ097F8J9,Z00004607,TRUE
D25HX05UDHJW,Z00004623,TRUE
C1MN637ADV30,Z00004767,TRUE
C1MN6377DV30,Z00004860,TRUE
QP0270HU5PM,Z00004949,TRUE
QP0270D15PM,Z00004951,TRUE
QP0270A95PM,Z00004952,TRUE
QP0270D75PM,Z00004953,TRUE
QP0270JJ5PM,Z00004954,TRUE
QP0270CN5PM,Z00004956,TRUE
W81070N4AGY,Z00005007,TRUE
C1MQ921ADV30,Z00005040,TRUE
C1MQ921CDV30,Z00005080,TRUE
C02HX0WGF1G3,Z00005088,TRUE
QP8460NPZE7,Z00006072,TRUE
C02HX0WNF1G3,Z00006142,TRUE
C1MLT534DV30,Z00006150,TRUE
W8939J8666D,Z00006158,TRUE
W8939QDF66D,Z00006159,TRUE
W8939J6J66D,Z00006160,TRUE
W8939J1Q66D,Z00006161,TRUE
W8939QF966D,Z00006162,TRUE
W8939J2466D,Z00006163,TRUE
W8939QCJ66D,Z00006164,TRUE
W8939QDM66D,Z00006165,TRUE
W8939J2M66D,Z00006166,TRUE
W89320V264B,Z00006195,TRUE
C02HX0W9F1G3,Z00006196,TRUE
C1MLGOYPD31,Z00006275,TRUE
QP8460NGZE7,Z00006281,TRUE
C1MQ922QDV30,Z00006290,TRUE
C1MLGOYNDV31,Z00006340,TRUE
FVFVK2B3HV2D,Z00006367,TRUE
W8939J8866D,Z00006379,TRUE
W87290MEXAG,Z00006380,TRUE
C02H83KCDV7P,Z00006501,TRUE
CIMRQ402H3QK,Z00007072,TRUE
D25TP0CKGG7V,Z00007823,TRUE
D25TP0CWGG7V,Z00007824,TRUE
D25TP0CPGG7V,Z00007827,TRUE
D25TP0CJGG7V,Z00007829,TRUE
D25TP0CTGG7V,Z00007830,TRUE
D25TP0CLGG7V,Z00007831,TRUE
D25TP0CXGG7V,Z00007832,TRUE
D25TP0CMGG7V,Z00007835,TRUE
D25QF20RFY14,Z00007838,TRUE
D25S809FGG7V,Z00007839,TRUE
D25S809NGG7V,Z00007842,TRUE
C02TN01LG8WL,Z00007860,TRUE
C02TN01EG8WL,Z00007861,TRUE
C02TN01JG8WL,Z00007862,TRUE
C02TN01FG8WL,Z00007863,TRUE
C02TN0ABG8WL,Z00007864,TRUE
C02TN0A3G8WL,Z00007865,TRUE
C02TN01HG8WL,Z00007866,TRUE
C02TN01DG8WL,Z00007867,TRUE
C02TN01MG8WL,Z00007871,TRUE
C02TN01KG8WL,Z00007872,TRUE
C02TN01GG8WL,Z00007873,TRUE
C02TN0MVG8WL,Z00007874,TRUE
C02TN0A2G8WL,Z00007876,TRUE
C02TN0A0G8WL,Z00007879,TRUE
C02TN0AAG8WL,Z00007881,TRUE
C02TN0A4G8WL,Z00007923,TRUE
D25QF1XXFY14,Z00009056,TRUE
D25QF1Z3FY14,Z00009062,TRUE
D25QF1XTFY14,Z00009063,TRUE
D25QF1ZYFY14,Z00009064,TRUE
D25QF1YQFY14,Z00009065,TRUE
D25QF20SFY14,Z00009066,TRUE
D25QF1YXFY14,Z00009067,TRUE
D25QF1ZVFY14,Z00009068,TRUE
D25QF1Y0FY14,Z00009069,TRUE
D25QF1Y3FY14,Z00009070,TRUE
D25QF1ZKFY14,Z00009071,TRUE
D25QF219FY14,Z00009074,TRUE
D25QF20EFY14,Z00009075,TRUE
D25QG09RFY14,Z00009076,TRUE
D25QF20NFY14,Z00009077,TRUE
D25QF1ZWFY14,Z00009078,TRUE
D25QF1YDFY14,Z00009079,TRUE
D25QF20VFY14,Z00009080,TRUE
D25QF20CFY14,Z00009081,TRUE
D25QF20MFY14,Z00009082,TRUE
D25QF1YEFY14,Z00009083,TRUE
D25QF1ZHFY14,Z00009084,TRUE
D25QF1ZQFY14,Z00009085,TRUE
D25QF1Y8FY14,Z00009086,TRUE
D25QF1Y5FY14,Z00009087,TRUE
D25QG090FY14,Z00009088,TRUE
D25QG09LFY14,Z00009089,TRUE
D25QF20AFY14,Z00009090,TRUE
D25QG08UFY14,Z00009091,TRUE
D25QF21EFY14,Z00009092,TRUE
D25QF20TFY14,Z00009093,TRUE
D25QF209FY14,Z00009094,TRUE
D25QF218FY14,Z00009095,TRUE
D25QF207FY14,Z00009096,TRUE
D25QF1ZXFY14,Z00009097,TRUE
D25QG097FY14,Z00009098,TRUE
D25QF214FY14,Z00009099,TRUE
D25QG092FY14,Z00009100,TRUE
D25QF1YCFY14,Z00009101,TRUE
D25QG08XFY14,Z00009102,TRUE
D25QF201FY14,Z00009103,TRUE
D25QF203FY14,Z00009104,TRUE
D25QF1YVFY14,Z00009105,TRUE
D25QF1XVFY14,Z00009106,TRUE
D25QF200FY14,Z00009107,TRUE
D25QF208FY14,Z00009108,TRUE
D25QF1YYFY14,Z00009109,TRUE
D25QF1Z4FY14,Z00009110,TRUE
D25QF1XZFY14,Z00009111,TRUE
D25QF1Z7FY14,Z00009112,TRUE
D25QG091FY14,Z00009113,TRUE
D25QF20QFY14,Z00009114,TRUE
D25QF1YFFY14,Z00009115,TRUE
D25QG09MFY14,Z00009116,TRUE
D25QF1XYFY14,Z00009117,TRUE
D25QF1XSFY14,Z00009118,TRUE
D25QF1ZBFY14,Z00009119,TRUE
D25QF1ZSFY14,Z00009120,TRUE
D25QF1ZUFY14,Z00009121,TRUE
D25QF212FY14,Z00009122,TRUE
D25QF1YNFY14,Z00009123,TRUE
D25QG07JFY14,Z00009124,TRUE
D25QF1ZAFY14,Z00009125,TRUE
D25QF211FY14,Z00009127,TRUE
D25QF1YMFY14,Z00009128,TRUE
D25QF1Y7FY14,Z00009130,TRUE
D25QF1ZGFY14,Z00009131,TRUE
D25QG09TFY14,Z00009132,TRUE
C1MN637BDV30,Z00006504,TRUE
C02WN143G8WL,Z00006718,TRUE
C02WN14CG8WL,Z00006719,TRUE
C02WN14DG8WL,Z00006720,TRUE
C02WN14AG8WL,Z00006721,TRUE
C02WN14EG8WL,Z00006722,TRUE
C02WN146G8WL,Z00006723,TRUE
C02WN145G8WL,Z00006724,TRUE
C02WN147G8WL,Z00006725,TRUE
C02WN14BG8WL,Z00006726,TRUE
C02WN14GG8WL,Z00006727,TRUE
C02WN149G8WL,Z00006728,TRUE
C02WN14FG8WL,Z00006729,TRUE
C02WN148G8WL,Z00006730,TRUE
C02WN144G8WL,Z00006731,TRUE
D25WN0FJJ1GN,Z00006753,TRUE
